target_key,packet,lesson_label,lesson_title,target_kind,target_order,lesson_id,target_type,field,target_id,provider_model,source_text,korean_context,stt_transcript,review_signals,current_audio_url,current_verdict,current_notes,recommended_action,regeneration_status,new_audio_url,post_regen_verdict,post_regen_notes
HN4-001 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,HN4-001,이름을 쓰세요,question,3,b544d1f5-8089-45f8-b3d9-6428b60a0ece,lesson_question_prompt,question_prompt,b544d1f5-8089-45f8-b3d9-6428b60a0ece:question:3,elevenlabs / eleven_multilingual_v2,名前を書き___. (이름을 쓰세요.),,名前を書き イムルスセヨ,"HIGH_SILENCE_RATIO:0.3863, TRANSCRIPTION_TEXT_MISMATCH:名前を書き イムルスセヨ",https://storage.googleapis.com/harukoto-storage/tts/lesson/b544d1f5-8089-45f8-b3d9-6428b60a0ece/question-3.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-002 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,HN4-002,일찍 쉬는 편이 좋아요,question,4,89433566-b321-4f99-ac20-9ffb87e69d6b,lesson_question_prompt,question_prompt,89433566-b321-4f99-ac20-9ffb87e69d6b:question:4,elevenlabs / eleven_multilingual_v2,医者に相談___。 (의사와 상담하는 편이 좋습니다.),,医者に相談 医者と相談する方がいいです,"HIGH_SILENCE_RATIO:0.3876, TRANSCRIPTION_TEXT_MISMATCH:医者に相談 医者と相談する方がいいです",https://storage.googleapis.com/harukoto-storage/tts/lesson/89433566-b321-4f99-ac20-9ffb87e69d6b/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-003 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,HN4-003,늦을지도 몰라요,question,3,82d7334e-c4c4-4102-86ea-7be9b3218bce,lesson_question_prompt,question_prompt,82d7334e-c4c4-4102-86ea-7be9b3218bce:question:3,elevenlabs / eleven_multilingual_v2,電車が遅れる___。 (전철이 늦을지도 모릅니다.),,転写が遅れる ちょんちょり ぬじるちど もるにだ,"HIGH_SILENCE_RATIO:0.3646, TRANSCRIPTION_TEXT_MISMATCH:転写が遅れる ちょんちょり ぬじるちど もるにだ",https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-3.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-003 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,HN4-003,늦을지도 몰라요,question,4,82d7334e-c4c4-4102-86ea-7be9b3218bce,lesson_question_prompt,question_prompt,82d7334e-c4c4-4102-86ea-7be9b3218bce:question:4,elevenlabs / eleven_multilingual_v2,間に合わない___。 (시간에 맞지 못할지도 모릅니다.),,間に合わない。 時間に間に合わないかもしれません。,"HIGH_SILENCE_RATIO:0.4078, TRANSCRIPTION_TEXT_MISMATCH:間に合わない。 時間に間に合わないかもしれません。",https://storage.googleapis.com/harukoto-storage/tts/lesson/82d7334e-c4c4-4102-86ea-7be9b3218bce/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-004 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,HN4-004,달릴 수밖에 없어요,question,4,8368ee77-eeb8-48b2-9c81-2cfd597e5f7a,lesson_question_prompt,question_prompt,8368ee77-eeb8-48b2-9c81-2cfd597e5f7a:question:4,elevenlabs / eleven_multilingual_v2,電車に乗る___。 (전철을 탈 수밖에 없습니다.),,電車に乗るは ちょんちょろをたるすわけありません。,"HIGH_SILENCE_RATIO:0.3813, TRANSCRIPTION_TEXT_MISMATCH:電車に乗るは ちょんちょろをたるすわけありません。",https://storage.googleapis.com/harukoto-storage/tts/lesson/8368ee77-eeb8-48b2-9c81-2cfd597e5f7a/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-005 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch01-2026-05-13.md,HN4-005,한자를 찾아볼 수 있어요,question,4,17851e67-db52-41b8-a651-d416251b0ead,lesson_question_prompt,question_prompt,17851e67-db52-41b8-a651-d416251b0ead:question:4,elevenlabs / eleven_multilingual_v2,文を翻訳___。 (문장을 번역할 수 있습니다.),,文語翻訳 文章を翻訳することができます,"HIGH_SILENCE_RATIO:0.3968, TRANSCRIPTION_TEXT_MISMATCH:文語翻訳 文章を翻訳することができます",https://storage.googleapis.com/harukoto-storage/tts/lesson/17851e67-db52-41b8-a651-d416251b0ead/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-006 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,HN4-006,강의 깊이를 말해요,question,4,94d8d321-17c6-4fa1-8c50-af29c08e9c22,lesson_question_prompt,question_prompt,94d8d321-17c6-4fa1-8c50-af29c08e9c22:question:4,elevenlabs / eleven_multilingual_v2,線の太___を見ます。 (선의 굵기를 봅니다.),,洗脳体を見ます。そうね、クッキリを見ます。,"HIGH_SILENCE_RATIO:0.3523, TRANSCRIPTION_TEXT_MISMATCH:洗脳体を見ます。そうね、クッキリを見ます。",https://storage.googleapis.com/harukoto-storage/tts/lesson/94d8d321-17c6-4fa1-8c50-af29c08e9c22/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-008 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,HN4-008,회의가 길었던 거예요,question,3,78e8b581-c81d-4465-b49d-cf0e4b49db4a,lesson_question_prompt,question_prompt,78e8b581-c81d-4465-b49d-cf0e4b49db4a:question:3,elevenlabs / eleven_multilingual_v2,会議が長かった___。 (회의가 길었던 거예요.),,会議がなかった フェイが消ろとんごよ,"HIGH_SILENCE_RATIO:0.4026, TRANSCRIPTION_TEXT_MISMATCH:会議がなかった フェイが消ろとんごよ",https://storage.googleapis.com/harukoto-storage/tts/lesson/78e8b581-c81d-4465-b49d-cf0e4b49db4a/question-3.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-009 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,HN4-009,면접을 위해 준비해요,question,4,3221de04-7925-47d9-880a-2adcabfc58b1,lesson_question_prompt,question_prompt,3221de04-7925-47d9-880a-2adcabfc58b1:question:4,elevenlabs / eleven_multilingual_v2,就職する___、準備します。 (취직하기 위해 준비합니다.),,給食する 準備します,"HIGH_SILENCE_RATIO:0.4041, TRANSCRIPTION_TEXT_MISMATCH:給食する 準備します",https://storage.googleapis.com/harukoto-storage/tts/lesson/3221de04-7925-47d9-880a-2adcabfc58b1/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-010 question:4,docs/operations/plans/n4-pilot-human-audio-qa-ch02-2026-05-13.md,HN4-010,누르면 바뀌어요,question,4,1445c28c-bd0c-4c0a-b8f7-2708c51acca7,lesson_question_prompt,question_prompt,1445c28c-bd0c-4c0a-b8f7-2708c51acca7:question:4,elevenlabs / eleven_multilingual_v2,信号が青になる___、車が進みます。,,信号が青になる 車が進みます,"HIGH_SILENCE_RATIO:0.3915, TRANSCRIPTION_TEXT_MISMATCH:信号が青になる 車が進みます",https://storage.googleapis.com/harukoto-storage/tts/lesson/1445c28c-bd0c-4c0a-b8f7-2708c51acca7/question-4.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
HN4-011 question:3,docs/operations/plans/n4-pilot-human-audio-qa-ch03-2026-05-13.md,HN4-011,종이의 두께를 비교해요,question,3,03cfdb15-c916-450c-8168-9052f3e754aa,lesson_question_prompt,question_prompt,03cfdb15-c916-450c-8168-9052f3e754aa:question:3,elevenlabs / eleven_multilingual_v2,紙の厚___を比べます。 (종이의 두께를 비교합니다.),,カビの音 お比べます。 ジョンギエたける比較します。,"HIGH_SILENCE_RATIO:0.359, TRANSCRIPTION_TEXT_MISMATCH:カビの音 お比べます。 ジョンギエたける比較します。",https://storage.googleapis.com/harukoto-storage/tts/lesson/03cfdb15-c916-450c-8168-9052f3e754aa/question-3.mp3,PENDING,,"provider fallback regenerate high-silence question prompt, then STT audit before setting PASS or FLAG",,,,
